X;time;peak;backend
[256, 16, 1, 4];0.010821250965818763;0.0461427155085045;jir
[256, 16, 2, 1];0.004349987138994038;0.11478698414666488;jir
[256, 16, 2, 4];0.01039709779433906;0.04802512341797651;jir
[256, 16, 4, 1];0.003977328131441027;0.1255420443726365;jir
[256, 16, 4, 4];0.010502485907636583;0.04754321111717342;jir
[256, 32, 1, 1];0.004487916536163539;0.11125917800350768;jir
[256, 32, 1, 4];0.0044902986264787614;0.11120015533431617;jir
[256, 32, 2, 1];0.0031494678696617484;0.15854167288759538;jir
[256, 32, 2, 4];0.004581281333230436;0.10899175764213849;jir
[256, 64, 1, 1];0.003777421952690929;0.13218589583464507;jir
[256, 64, 1, 4];0.0037808927590958774;0.13206455104040224;jir
